order_id,customer_id,timestamp,total_amount,num_items,status,channel
1,CUST110,2024-11-18 22:34:00,1169.93,4,completed,delivery
2,CUST098,2024-04-06 11:47:00,875.42,7,completed,dine-in
3,CUST079,2024-09-10 14:32:00,1248.72,2,completed,dine-in
4,CUST040,2024-11-18 14:47:00,1323.64,1,completed,delivery
5,CUST093,2024-06-29 16:33:00,1361.23,7,completed,dine-in
6,CUST041,2024-04-16 15:00:00,201.77,3,completed,dine-in
7,CUST101,2024-09-28 21:27:00,1802.77,7,completed,dine-in
8,CUST027,2024-07-27 16:14:00,1070.02,8,completed,dine-in
9,CUST044,2024-07-05 15:55:00,1111.05,5,completed,dine-in
10,CUST082,2024-01-02 13:44:00,951.82,1,completed,dine-in
11,CUST004,2024-03-08 21:21:00,1094.28,2,completed,delivery
12,CUST116,2024-08-10 16:09:00,303.91,7,completed,dine-in
13,CUST055,2024-01-28 16:17:00,1113.62,3,completed,delivery
14,CUST048,2024-01-17 15:40:00,1088.33,7,completed,takeaway
15,CUST046,2024-09-13 13:29:00,554.0,5,cancelled,delivery
16,CUST061,2024-11-17 14:12:00,853.32,4,completed,delivery
17,CUST014,2024-12-30 14:36:00,1429.65,1,completed,delivery
18,CUST064,2024-02-28 18:14:00,345.93,7,completed,dine-in
19,CUST077,2024-06-02 20:59:00,1730.74,6,completed,delivery
20,CUST042,2024-07-25 18:23:00,259.04,4,completed,takeaway
21,CUST070,2024-04-07 12:37:00,1978.44,7,completed,takeaway
22,CUST092,2024-06-23 16:55:00,697.37,7,completed,takeaway
23,CUST076,2024-02-15 20:58:00,460.59,2,completed,delivery
24,CUST004,2024-04-09 15:59:00,1790.85,1,completed,dine-in
25,CUST070,2024-04-22 18:09:00,253.75,2,completed,delivery
26,CUST029,2024-11-18 20:36:00,855.8,4,completed,dine-in
27,CUST038,2024-11-01 17:21:00,356.08,3,completed,takeaway
28,CUST118,2024-10-08 13:03:00,1565.43,8,completed,delivery
29,CUST083,2024-08-08 16:05:00,467.3,2,completed,takeaway
30,CUST022,2024-03-30 12:36:00,1739.87,4,completed,delivery
